Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,"Gurgaon, India",30.42,9.31,20.34,28.13,25.81,108.96
2,"Mumbai, India",28.59,19.54,24.27,27.77,26.04,52.4
3,"Noida, India",27.3,5.8,17.03,24.52,22.53,83.42
4,"Bangalore, India",27.01,8.52,18.17,27.52,19.36,89.61
5,"Delhi, India",26.93,8.01,17.89,24.97,24.18,63.64
6,"Pune, India",26.78,7.39,17.51,26.92,22.5,75.28
7,"Thane, India",25.51,9.37,17.8,24.92,21.86,74.77
8,"Chandigarh, India",25.18,5.53,15.79,25.02,17.91,55.32
9,"Goa, India",24.82,5.98,15.82,26.34,20.97,47.27
10,"Indore, India",24.55,4.27,14.86,25.22,14.62,47.23
11,"Jaipur, India",24.44,5.01,15.16,23.36,18.16,66.99
12,"Chennai, India",24.19,6.71,15.84,24.89,15.25,64.19
13,"Kolkata, India",24.07,5.14,15.03,23.68,20.59,53.15
14,"Hyderabad, India",24,5.91,15.36,24.6,16.3,65.89
15,"Ahmedabad, India",23.47,4.75,14.52,24.69,15.75,53.68
16,"Surat, India",23.3,3.25,13.72,24.49,17.51,61.13
17,"Guwahati, India",23.25,4.03,14.07,25.41,13.25,57.78
18,"Lucknow (Lakhnau), India",23.07,4.17,14.04,21.9,17.77,63.67
19,"Mangalore, India",23.05,4.8,14.33,23.91,17.35,70.84
20,"Bhopal, India",23,3.3,13.59,21.82,14.96,60.75
21,"Bhubaneswar, India",22.65,3.93,13.71,24.84,12.81,66.67
22,"Mysore, India",22.46,4.26,13.77,25.15,14.35,48.73
23,"Vadodara, India",22.15,3.64,13.31,22.17,14.28,70.15
24,"Coimbatore, India",22.07,4.89,13.86,23.43,14.23,53.24
25,"Navi Mumbai, India",21.2,5.89,13.88,21.32,14.8,124.28
26,"Vijayawada, India",21.14,5.09,13.47,21.13,13.29,57.85
27,"Kochi, India",20.86,5.07,13.32,21.86,11.74,68.14
28,"Visakhapatnam, India",20.19,4.04,12.47,19.72,15.15,57.08
29,"Thiruvananthapuram, India",19.44,4.37,12.24,20.27,11.09,65.28
